kernel,ell,kl_last,wasserstein_last,n_eff,basin_exception_rate,continuity_score,lambda_eff,conv_rate,conv_intercept,type
gaussian,0.05,1.7763568393896003e-26,1.7514583404309376e-126,1.0067962774733201,0.0,1.0,2.0000000000000004,,,
gaussian,0.073,0.0,3.791305029401033e-60,1.5416182193433505,0.0,1.0,1.9999999999999996,,,
gaussian,0.1066,0.0,7.153940849319809e-30,49.571870853357204,0.0,1.0,2.0000000000000004,,,
gaussian,0.1556,4.842592522844068e-17,3.2029401239008504e-16,1020.5268160722543,0.0,1.0,1.9999999999999991,,,
gaussian,0.2272,2.0069571340921844e-10,1.6375909933626133e-09,2523.211063247402,0.0,1.0,1.9999999808273508,-0.06674763524399409,-21.050936374327065,
gaussian,0.3317,8.993022980201808e-08,3.5241161472361452e-06,3279.561670006229,0.0,1.0,1.999860463711234,-1.0273261649642595,-7.197825452308881,
gaussian,0.4843,1.8487639315752977e-06,0.00024315146928597246,3628.766543948932,0.0,1.0,1.9859564595751826,-1.2175249730237594,-2.880313376029881,
gaussian,0.7071,4.275004550271024e-05,0.0028772442455178007,4793.230118993003,0.0,1.0,1.8678716664824693,-1.0686231007557054,-1.6619690038665285,
gaussian,1.0324,0.00013428467624719095,0.0066388172649282685,7175.9190962351795,0.010432838601502825,1.0,1.6617946251396003,-0.9252636509777504,-1.8644637079972584,
gaussian,1.5073,0.00019435887771948617,0.008124944094614638,8841.306279412578,0.2658035385182455,1.0,1.5106111315816104,-0.871898357233397,-1.7573905447399871,
gaussian,2.2007,0.00023092951050180034,0.008581706415032447,9562.781254206568,0.5864261614326499,1.0,1.4268218420224246,-0.9075513998035286,-1.0068272908425555,
gaussian,3.2131,0.00026669559014645434,0.008855976902438716,9860.234227624936,0.6056961868705615,1.0,1.3836423810761243,-0.9538207615669745,-0.3189559479528102,
gaussian,4.6912,0.00030168123255244436,0.009052140047512727,9962.003269045232,0.6713687640495782,1.0,1.3622901246485122,-0.9757403034319355,0.057447127087580284,
gaussian,6.8492,0.00032739666641403353,0.009172361915326116,9990.672650717454,0.6715110286538858,1.0,1.351999591976383,-0.9827248018939932,0.226861405682817,
gaussian,10.0,0.00034261203203924686,0.00923726797322736,9997.833674444608,0.6715110286538858,1.0,1.3471078386692,-0.9846871435541142,0.3011762581828293,
exponential,0.05,7.794273783344738e-12,6.911074834801156e-11,231.39035996105403,0.0,1.0,1.9999999985341599,-0.1843750768924261,-23.47410848906413,
exponential,0.073,7.164919769713374e-10,9.161815332354071e-09,1213.3301813349071,0.0,1.0,1.9999991516958444,-0.8247725434331606,-13.70873798439622,
exponential,0.1066,4.104591170182634e-09,2.6622002733746666e-07,2257.7359172962233,0.0,1.0,1.9999312883292406,-1.508872439926343,-5.856550639067362,
exponential,0.1556,3.8533807689934204e-08,1.0765299915621019e-05,2910.3793632782763,0.0,1.0,1.9985478840299429,-1.704191368061742,-2.0414124033654946,
exponential,0.2272,1.6928693969639257e-06,0.00018045285378154253,3338.693147406347,0.0,1.0,1.9878466214713888,-1.3260420906993367,-2.3213874364001246,
exponential,0.3317,1.3897062351828984e-05,0.001030106687616132,3839.946686471829,0.0,1.0,1.9480535130092405,-1.1507271073195322,-2.0324552436855146,
exponential,0.4843,4.844848849668906e-05,0.002920741756283438,4696.054397661566,0.0,1.0,1.8652324188844227,-1.0303961821216325,-1.9240080714605794,
exponential,0.7071,9.887977682034752e-05,0.005153413885521168,5945.246297008664,0.0,1.0,1.7552143683422943,-0.9546746203542299,-1.8237817856450618,
exponential,1.0324,0.0001474844429926978,0.006837063312476571,7290.6187007294375,0.010432838601502825,1.0,1.6475733551844511,-0.9233172808814629,-1.5607682023731115,
exponential,1.5073,0.00018708934369179888,0.007821863736449478,8381.89207932316,0.2658035385182455,1.0,1.5594839082102598,-0.9239296273700706,-1.1729954435258712,
exponential,2.2007,0.00021982865036750826,0.00835549607284428,9105.116465560555,0.5864261614326499,1.0,1.4937830605959899,-0.9384696232410701,-0.7711260674276444,
exponential,3.2131,0.00024840011503846527,0.008660651778457519,9529.278112435197,0.6056961868705615,1.0,1.4469713163980056,-0.953975289243148,-0.4340127200523391,
exponential,4.6912,0.0002734372967730514,0.008853742567712736,9760.684522722288,0.6713687640495782,1.0,1.4143411208838723,-0.9656181034551222,-0.18337291343493436,
exponential,6.8492,0.0002945731164463593,0.008985591051705714,9881.220472925621,0.6715110286538858,1.0,1.3918281296669834,-0.9732146786416503,-0.007955233612799298,
exponential,10.0,0.0003115763786458417,0.009078757246850162,9942.046226902143,0.6715110286538858,1.0,1.3763667424446369,-0.9778961399943693,0.11166826178145257,
gaussian,0.1066,0.005364827170253019,,49.571870853357204,,,,,,shuffled_null
gaussian,0.1556,0.0022787303902715122,,1020.5268160722545,,,,,,shuffled_null
gaussian,0.2272,0.00046716336356265225,,2523.211063247402,,,,,,shuffled_null
gaussian,0.3317,0.0011801530578641672,,3279.561670006228,,,,,,shuffled_null
gaussian,0.4843,0.0008650900283716963,,3628.7665439489306,,,,,,shuffled_null
gaussian,0.7071,0.0004527046055002111,,4793.230118993006,,,,,,shuffled_null
gaussian,1.0324,0.0005556298279776875,,7175.919096235177,,,,,,shuffled_null
gaussian,1.5073,0.00023143521744856317,,8841.306279412574,,,,,,shuffled_null
gaussian,2.2007,0.0004399492765926503,,9562.781254206566,,,,,,shuffled_null
gaussian,3.2131,0.0002989246671806468,,9860.234227624936,,,,,,shuffled_null
gaussian,4.6912,0.0003756948233578539,,9962.003269045232,,,,,,shuffled_null
gaussian,6.8492,0.00036754358376299423,,9990.672650717455,,,,,,shuffled_null
gaussian,10.0,0.00036290340942501985,,9997.833674444613,,,,,,shuffled_null
