ell,n_sectors,Lambda_eff_vac3,Lambda_eff_vac2,Lambda_eff_vac4,Lambda_eff_vac1,Lambda_eff_vac5,Lambda_eff_aggregate,G_eff_vac3,G_eff_vac2,G_eff_vac4,G_eff_vac1,G_eff_vac5,G_eff_aggregate,Q_fluctuation_vac3,Q_fluctuation_vac2,Q_fluctuation_vac4,Q_fluctuation_vac1,Q_fluctuation_vac5,Q_fluctuation_aggregate,reheating_temp_vac3,reheating_temp_vac2,reheating_temp_vac4,reheating_temp_vac1,reheating_temp_vac5,reheating_temp_aggregate,Lambda_eff_vac0,G_eff_vac0,Q_fluctuation_vac0,reheating_temp_vac0
0.1,100,1.9999999999999996,7.12412091369852e-39,6.238234319384242e-61,1.5177472330437828e-259,1.7003919135821606e-292,1.9999999999999996,0.6999999999999998,6.530444170890311e-39,1.621940923039903e-60,1.7074656371742552e-259,9.635554176965577e-293,0.6999999999999998,0.09999999999999995,2.3747069712328404e-39,1.1228821774891636e-60,1.5177472330437828e-259,5.667973045273869e-293,0.09999999999999995,200.00000000000009,7.124120913698521e-37,6.238234319384242e-59,1.5177472330437827e-257,1.5870324526766833e-290,200.00000000000009,,,,
0.1,250,2.0000000000000004,2.904542431641487e-38,2.7510437700802035e-42,4.8222652503740866e-253,1.1796811841320603e-292,2.0000000000000004,0.6999999999999998,2.6624972290046973e-38,7.15271380220853e-42,5.425048406670848e-253,6.684860043415007e-293,0.6999999999999998,0.09999999999999996,9.681808105471628e-39,4.951878786144367e-42,4.8222652503740866e-253,3.932270613773534e-293,0.09999999999999996,200.00000000000014,2.90454243164149e-36,2.7510437700802036e-40,4.822265250374086e-251,1.1010357718565894e-290,200.00000000000014,,,,
0.1,500,2.0000000000000013,1.8564073261922908e-38,1.7061208079784933e-42,3.9790402232367147e-253,7.316054498721396e-293,2.0000000000000013,0.7000000000000003,1.7017067156762664e-38,4.435914100744084e-42,4.476420251141305e-253,4.1457642159421245e-293,0.7000000000000003,0.09999999999999995,6.188024420640969e-39,3.0710174543612893e-42,3.9790402232367147e-253,2.438684832907132e-293,0.09999999999999995,200.00000000000006,1.8564073261922922e-36,1.7061208079784937e-40,3.9790402232367136e-251,6.82831753213997e-291,200.00000000000006,,,,
0.1,1000,2.000000000000001,1.123720222308181e-38,6.331248705265408e-43,1.2992952410477e-249,2.6571907610800972e-195,2.000000000000001,0.6999999999999996,1.0300768704491665e-38,1.646124663369006e-42,1.4617071461786624e-249,1.5057414312787215e-195,0.6999999999999996,0.10000000000000002,3.7457340743606064e-39,1.1396247669477739e-42,1.2992952410477e-249,8.857302536933656e-196,0.10000000000000002,199.99999999999983,1.1237202223081821e-36,6.331248705265408e-41,1.2992952410477003e-247,2.4800447103414236e-193,199.99999999999983,0.0,0.0,0.0,0.0
0.1,2500,2.0000000000000013,1.273844460235673e-35,9.0311133268781e-36,9.661919545560942e-241,1.1207094168264659e-195,2.0000000000000013,0.6999999999999981,1.1676907552160338e-35,2.348089464988306e-35,1.0869659488756058e-240,6.350686695349972e-196,0.6999999999999981,0.09999999999999999,4.246148200785574e-36,1.625600398838058e-35,9.661919545560942e-241,3.735698056088219e-196,0.09999999999999999,200.0000000000001,1.2738444602356741e-33,9.031113326878101e-34,9.66191954556094e-239,1.0459954557047013e-193,200.0000000000001,0.0,0.0,0.0,0.0
0.1,5000,1.9999999999999993,4.52676591810152e-33,4.7049650072937645e-36,6.491036728202515e-240,5.614819749376258e-196,1.9999999999999993,0.7000000000000006,4.149535424926391e-33,1.223290901896379e-35,7.302416319227829e-240,3.1817311913132124e-196,0.7000000000000006,0.09999999999999991,1.5089219727005036e-33,8.468937013128778e-36,6.491036728202515e-240,1.8716065831254191e-196,0.09999999999999991,199.99999999999991,4.526765918101512e-31,4.704965007293765e-34,6.491036728202518e-238,5.2404984327511734e-194,199.99999999999991,0.0,0.0,0.0,0.0
0.1,10000,1.9999999999999976,2.2625229933880848e-33,1.97538247880137e-36,1.017872885290398e-234,2.357374787634722e-196,1.9999999999999976,0.7000000000000013,2.0739794106057355e-33,5.1359944448835636e-36,1.1451069959516975e-234,1.335845712993009e-196,0.7000000000000013,0.10000000000000005,7.5417433112935825e-34,3.555688461842468e-36,1.017872885290398e-234,7.857915958782407e-197,0.10000000000000005,199.99999999999977,2.2625229933880724e-31,1.975382478801371e-34,1.017872885290398e-232,2.2002164684590738e-194,199.99999999999977,0.0,0.0,0.0,0.0
0.25,100,1.9999995183842332,2.8893127229493596e-07,1.5911458270611386e-11,2.2565222692322464e-43,2.0448272561939503e-48,1.9999998073314171,0.6999998314344812,2.64853666270358e-07,4.136979150358961e-11,2.5385875528862775e-43,1.1587354451765719e-48,0.7000000963295173,0.09999997591921166,9.631042409831197e-08,2.8640624887100493e-11,2.2565222692322464e-43,6.8160908539798345e-49,0.10000007225827637,199.9999518384233,2.8893127229493586e-05,1.5911458270611386e-09,2.2565222692322465e-41,1.9085054391143537e-46,199.9999807331417,,,,
0.25,250,1.999999375070344,3.62990114923721e-07,4.986532620575825e-09,1.7126769197600132e-42,1.0658468428815186e-48,1.9999997430469914,0.6999997812746204,3.327409386800774e-07,1.2964984813497145e-08,1.926761534730015e-42,6.039798776328604e-49,0.7000001269805438,0.09999996875351723,1.2099670497457368e-07,8.975758717036486e-09,1.7126769197600132e-42,3.552822809605061e-49,0.10000009872598091,199.99993750703442,3.629901149237209e-05,4.986532620575826e-07,1.7126769197600132e-40,9.947903866894173e-47,199.99997430469918,,,,
0.25,500,1.9999995521588678,2.6299801160104806e-07,2.377778208329885e-09,2.107291058993603e-42,4.956483818208856e-49,1.9999998175346578,0.6999998432556036,2.4108151063429386e-07,6.182223341657699e-09,2.3707024413678044e-42,2.808674163651685e-49,0.7000000905193375,0.09999997760794337,8.766600386701604e-08,4.280000774993791e-09,2.107291058993603e-42,1.6521612727362855e-49,0.10000006955394801,199.99995521588673,2.629980116010479e-05,2.3777782083298857e-07,2.1072910589936033e-40,4.626051563661599e-47,199.9999817534657,,,,
