sigma,ell,seed,n_trajectories,n_vacua,n_sectors,global_kl,isr_kl,improvement_ratio,isr_wins,lambda_eff,basin_exception_rate,multi_basin
0.5,0.1,1,2000,3,2000,0.0007299324687979314,-7.105427355469369e-25,,False,2.0000000000000004,0.0,True
0.5,0.1,2,2000,3,2000,0.0014133649016484394,7.105427355469375e-25,1.9891342644725052e+21,True,2.0000000000000036,0.0,True
0.5,0.1,3,2000,3,2000,0.0004736603096214395,0.0,,False,2.000000000000001,0.0,True
0.5,0.1,4,2000,3,2000,3.467367937618458e-05,0.0,,False,1.999999999999996,0.0,True
0.5,0.1,5,2000,3,2000,0.0009457383664433186,-7.105427355469367e-25,,False,2.000000000000001,0.0,True
0.5,0.25,1,2000,3,2000,0.0007299324687979314,2.779385196345118e-11,26262371.612174887,True,1.999999862869062,0.0,True
0.5,0.25,2,2000,3,2000,0.0014133649016484394,1.2097801729504123e-09,1168282.4146485429,True,1.9999998224021434,0.0,True
0.5,0.25,3,2000,3,2000,0.0004736603096214395,2.1883530486852348e-08,21644.602085847855,True,1.9999998138745243,0.0,True
0.5,0.25,4,2000,3,2000,3.467367937618458e-05,8.914292397809824e-10,38896.726547475206,True,1.9999998760232636,0.0,True
0.5,0.25,5,2000,3,2000,0.0009457383664433186,1.504607148512893e-09,628561.6596850926,True,1.9999998454195176,0.0,True
0.5,0.5,1,2000,3,2000,0.0007299324687979314,2.6618481530407936e-05,27.422017591953338,True,1.9923651603758754,0.0,True
0.5,0.5,2,2000,3,2000,0.0014133649016484394,6.028622374556081e-06,234.44243374963636,True,1.9918855431963278,0.0,True
0.5,0.5,3,2000,3,2000,0.0004736603096214395,2.286783395665531e-05,20.712950361596814,True,1.9925167253812617,0.0,True
0.5,0.5,4,2000,3,2000,3.467367937618458e-05,1.3057682664684415e-06,26.554236510864534,True,1.9927367026640646,0.0,True
0.5,0.5,5,2000,3,2000,0.0009457383664433186,2.8477106832380248e-05,33.210479281131015,True,1.992878590301989,0.0,True
0.5,1.0,1,2000,3,2000,0.0007299324687979314,0.00040133246453069517,1.8187725472233853,True,1.8695326433248824,7.445184826713323e-05,True
0.5,1.0,2,2000,3,2000,0.0014133649016484394,0.00039534804838388523,3.574988943099711,True,1.8640435410742269,7.495970915632848e-05,True
0.5,1.0,3,2000,3,2000,0.0004736603096214395,0.00011521757914742021,4.111007305711517,True,1.8747228759859933,0.0009794674599143873,True
0.5,1.0,4,2000,3,2000,3.467367937618458e-05,8.415909865731138e-06,4.120015533599382,True,1.874660436940614,3.699866804795027e-05,True
0.5,1.0,5,2000,3,2000,0.0009457383664433186,0.0004811529028833993,1.9655672048860218,True,1.8794302110727885,0.0010084275732910753,True
0.5,2.0,1,2000,3,2000,0.0007299324687979314,0.0006433566376506071,1.1345689561290293,True,1.7596208752413123,0.3064907569967985,True
0.5,2.0,2,2000,3,2000,0.0014133649016484394,0.0010454015279630254,1.3519828160213176,True,1.7519229737086695,0.30354765447568327,True
0.5,2.0,3,2000,3,2000,0.0004736603096214395,0.0003311186165757844,1.43048528808114,True,1.7694200813818406,0.28926110408547756,True
0.5,2.0,4,2000,3,2000,3.467367937618458e-05,2.591039094798739e-05,1.3382152143434904,True,1.768305467389458,0.3020427136327247,True
0.5,2.0,5,2000,3,2000,0.0009457383664433186,0.0008196989969709038,1.1537629909737326,True,1.7769168284657286,0.2890973396893741,True
1.0,0.1,1,2000,5,2000,0.00351824513854764,0.0,,False,1.9999999999999984,0.0,True
